German,English
teufel,devil
kenne,I know
hinter,behind
fast,almost
name,name
arbeiten,work
gerne,gladly
dran,your turn
neue,new
ziemlich,quite
ruhig,quiet
ging,went
sorgen,care for
verstanden,understood
tochter,daughter
toll,great
jemanden,someone
sogar,even
überhaupt,at all
he,he
spät,late
hört,hears
frauen,women
hand,hand
drin,inside
schau,look
nimm,take
seinem,his
mama,mama
lang,long
solltest,should
verloren,lost
art,art
sah,saw
verstehen,understand
große,size
darum,therefore
denkst,think
job,job
ruhe,quiet
braucht,needs
woher,from where
spielen,play
idee,idea
suchen,seek
je,each
kommst,come
liegt,lies
grund,reason
versuchen,attempt
jahr,year
gekommen,came
wasser,water
gewesen,been
endlich,finally
schwester,sister
keiner,none
wenig,few
tod,death
versucht,tried
oben,above
letzten,last
geschichte,story
erste,first
alter,age
kurz,short
bedeutet,means
niemals,never
ah,uh
fünf,five
welche,which
hoch,high
etwa,approximately
erzählt,told
finde,find
land,country
lasst,let
bringt,brings
getötet,killed
stunden,hours
holen,fetch
schwer,difficult
lässt,lets
verlassen,leave
anders,different
hoffe,hope
gestern,yesterday
musste,had
wahrheit,truth
vier,four
sagst,say
mom,mom
ort,location
läuft,running
zimmer,room
während,while
captain,captain
deshalb,for this reason
seite,page
würdest,would
glaubst,do you believe
krieg,war
zeigen,show
gefallen,fallen
spiel,game
bleibt,remains
woche,week
unserer,our
nett,nice
denen,those
bestimmt,certainly
zwischen,between
wagen,dare
kleinen,small
the,the
guter,goods
schatz,treasure
schuld,fault
erzählen,tell
ersten,first
dies,this
spaß,fun
tage,days
nehme,take
manchmal,sometimes
beste,best
gehst,go
chance,chance
entschuldigung,excuse
anderes,other
schlecht,bad
wollten,wanted
äh,uh
ernst,serious
sachen,things
eben,even
schlafen,sleep
gefällt,pleases
entschuldigen,excuse
bett,bed
wort,word
allen,all
gesicht,face
typ,type
unten,below
mensch,person
freundin,girlfriend
miss,miss
kleiner,smaller
hättest,would have
teil,part
tu,do
trinken,drink
einige,some
wären,would be
bleib,stay
beiden,both
herz,heart
papa,papa
stellen,place
wichtig,important
euer,your
blut,blood
schule,school
bloß,just
john,John
neuen,new
wiedersehen,see you again
unseren,our
glücklich,happy
jack,Jack
frei,free
ding,thing
gedacht,thought
tust,do
scheint,appears
arsch,ass
oft,often
wohin,where
alt,old
alte,old
waffe,weapon
sorge,worries
fest,firmly
platz,place
eltern,parents
kriegen,get
daß,that
wen,who
möglich,possible
drauf,on it
falls,if
irgendwie,somehow
jungen,young
besten,best
alten,old
nummer,number
wahrscheinlich,probably
dollar,dollar
brauchst,need
ehrlich,honest
hierher,here
irgendwas,something
setzen,set
zuerst,first
falsch,incorrect
reicht,suffices
menge,crowd
bereits,already
bring,bring
jede,every
hölle,hell
pass,passport
außer,except
früher,earlier
rede,speech
großen,large
hände,hands
wollt,wanted
gegeben,given
telefon,phone
kennst,do you know
wartet,waits
schiff,ship
früh,early
sondern,rather
scheiß,Shit
tue,do
willkommen,welcome
kaum,barely
doktor,doctor
lieben,love
fehler,mistake
retten,save
stunde,hour
meines,my
dürfen,may
sechs,six
plan,plan
klingt,sounds
hund,dog
zehn,ten
nächste,next
nächsten,next
langsam,slow
gebe,give
allem,all
film,film
ruf,call
wochen,weeks
geworden,become
schaffen,create
wär,would
überall,everywhere
voll,full
feuer,fire
alleine,alone
büro,office
direkt,direct
kumpel,buddy
trotzdem,despite it
hm,Hm
erinnern,remember
lernen,learn
laufen,run
denkt,thinks
könig,king
new,new
tat,did
nennen,to name
kleines,small
wem,whom
eigenen,own
aufhören,stop
könnt,can
deswegen,because of this
danach,thereafter
verlieren,lose
neues,new
völlig,fully
hattest,had
leider,unfortunately
hol,get
seht,look
luft,air
stelle,position
ziehen,pull
funktioniert,functions
verstehst,do you understand
verschwinden,disappear
heiraten,marry
wolltest,wanted
unserem,our
spricht,speaks
entschuldige,sorry
jedes,each
probleme,problems
lebt,lives
könntest,could
versuche,try
groß,large
gebracht,brought
krank,sick
gegangen,gone
wow,Wow
kaffee,coffee
straße,street
froh,glad
genommen,taken
fühle,feel
wert,value
rufen,call
erde,earth
richtige,correct
suche,search
buch,book
stück,piece
getroffen,met
lch,I
tagen,days
nochmal,again
nachdem,after
möchten,want
arzt,physician
typen,types
fand,found
vertrauen,trust
sam,sam
drüben,over
himmel,heaven
erklären,explain
interessiert,interested
irgendwo,somewhere
nachricht,news
glaub,believe
tja,well
gutes,good
onkel,uncle
spielt,plays
genauso,just as
geschafft,done
großer,large
waffen,weapons
i,i
licht,light
körper,body
kaufen,buy
weniger,fewer
lasse,let
lhr,lhr
wahl,choice
damals,at that time
rest,rest
schätze,I guess
gefühl,feeling
zwar,that is
halte,hold
passieren,happen
schlüssel,key
sitzen,sit
millionen,millions
weh,sore
leicht,light
kümmern,take care
hält,holds
herren,men
sagten,said
kennt,knows
gefragt,asked
zukunft,future
schauen,look
party,party
vergiss,forget
angerufen,called
total,total
möchtest,would like
solche,such
opfer,victim
passt,fits
worden,have
versuch,attempt
gesprochen,spoken
gefängnis,jail
cool,cool
schreiben,write
vorsichtig,cautious
o,O
wovon,of which
großartig,great
laut,loud
vorstellen,introduce
sinn,sense
schöne,beautiful
sobald,as soon as
krankenhaus,hospital
wohnung,apartment
tragen,carry
person,person
böse,evil
mist,Damn
michael,Michael
super,super
stark,strong
still,still
mund,mouth
verletzt,injured
boss,boss
leuten,people
boden,floor
sex,sex
kämpfen,battle
bringe,bring
fühlen,feel
außerdem,aside from that
lustig,funny
ändern,change
fliegen,fly
findet,finds
höre,listen
klasse,class
verdammte,damn it
solange,as long as
charlie,Charlie
setz,set
schicken,send
länger,longer
jemals,ever
hörst,do you hear
stolz,proud
besonders,particularly
idiot,idiot
sicherheit,security
redest,talk
eher,rather
umbringen,kill
wenigstens,at least
anrufen,call
zeug,things
sollst,You should
gestorben,died
mr,Mr
ähm,um
hasse,hate
zeig,show
hart,hard
erwartet,expected
heißen,be called
mörder,murderer
lachen,laugh
a,a
führen,lead
heraus,out of here
glaubt,believes
fällt,falls
stimme,agree
geschehen,happen
wisst,do you know
erfahren,experience
wärst,would be
geschäft,business
tages,day
schneller,faster
hinten,rear
stand,stand
umgebracht,killed
acht,eight
liebling,darling
mögen,like
fallen,fall
denk,think
lesen,read
frank,frank
meinung,opinion
liebt,loves
erinnere,remember
folgen,consequences
schluss,ending
monate,months
unglaublich,incredible
vorher,previously
verzeihung,forgiveness
arschloch,asshole
meisten,most
schlimm,terrible
aufs,on
york,York
peter,Peter
lebens,life
werdet,will
unmöglich,impossible
kampf,battle
laden,load
nähe,vicinity
team,team
bild,picture
joe,joe
verdient,earned
arbeitet,works
jedem,each
behalten,keep
bitten,ask
tatsächlich,actually
anfangen,begin
versprochen,promised
mord,murder
bekommt,receives
rufe,call
zieh,pull
fort,continued
perfekt,perfect
tom,tom
sieben,seven
plötzlich,suddenly
geschickt,sent
tisch,table
liegen,lay
chffffff,chffffff
antwort,answer
bezahlen,pay
machte,made
arbeite,work
gefährlich,dangerous
traum,dream
bezahlt,paid
auge,eye
general,general
dumm,dumb
konnten,could
starb,died
hotel,hotel
verkaufen,sell
ziel,goal
obwohl,although
ärger,aggravation
fenster,window
seien,be
daddy,daddy
niemanden,nobody
hörte,heard
handy,mobile phone
bewegung,movement
gerettet,rescued
dagegen,against it
monaten,months
nötig,necessary
hilf,help
ihres,their
werd,will
gewinnen,win
max,max
gedanken,thoughts
erinnerst,do you remember
voller,full
verheiratet,married
fahr,drive
rum,rum
neu,new
mike,Mike
benutzt,used
yeah,yeah
nimmt,takes
welcher,which
augenblick,moment
you,you
komisch,funny
hole,hole
gefahr,danger
entscheidung,decision
meister,master
unterwegs,on the way
lacht,laughs
leiche,corpse
zug,train
ma,ma
chef,chef
gleiche,same
worte,words
bier,beer
arm,arm
klappe,flap
fangen,catch
absolut,absolutely
schlimmer,worse
kamen,came
minute,minute
zahlen,pay
benutzen,use
anfang,beginning
finger,finger
zuhause,at home
hilft,helps
arme,poor
legen,place
weiss,white
findest,find
naja,Oh well
regeln,regulate
herum,around
lhre,their
rüber,over
david,David
geschrieben,written
klein,small
wach,awake
irgendetwas,anything
paris,Paris
offen,open
schönen,beautiful
wünschte,wish
monsieur,monsieur
jemandem,someone
tanzen,dance
sitzt,sits
kalt,cold
partner,partner
reise,trip
dame,lady
sekunden,seconds
bescheid,notice
raum,space
george,george
schießen,shoot
steh,stand
rolle,role
führt,leads
monat,month
nen,a
müde,tired
schlagen,hit
informationen,information
müsst,must
lage,location
hochzeit,wedding
ständig,constant
gottes,God
müsste,would
weise,way
weitere,more
gewonnen,won
richtung,direction
süß,sweet
heiß,hot
wozu,for what reason
harry,Harry
darfst,may
lauf,run
anwalt,attorney
erzähl,tell
agent,agent
aller,all
paul,Paul
fühlt,feel
steckt,is
magst,like
ließ,let
gelernt,learned
wunderbar,wonderful
beispiel,example
hältst,do you hold
weile,while
vorsicht,caution
seele,soul
selber,himself
erledigt,completed
ehre,honor
fürs,for
nennt,calls
ansehen,view
gehabt,had
nahm,took
kraft,power
links,left
herzen,hearts
bekannt,known
wofür,for what
boot,boat
stell,position
verschwinde,disappear
darin,in it
kontrolle,control
dahin,there
rücken,back
befehl,command
leg,leg
sucht,seeks
bar,bear
hübsch,pretty
tief,deep
foto,photo
brief,letter
schreit,screams
gestohlen,stolen
verliebt,in love
irgendwann,sometime
näher,closer
welches,which
tasche,bag
heiße,hot
ehe,before
unfall,accident
verbindung,connection
geschenk,gift
jedenfalls,anyway
beweise,proofs
punkt,point
uh,uh
verschwunden,disappeared
hoffentlich,hopefully
schrecklich,terrible
geist,spirit
sowieso,anyway
professor,professor
gold,gold
dasselbe,the same
zumindest,at least
gelesen,read
beweisen,prove
gearbeitet,worked
erwischt,caught
geboren,born
bisher,until now
öffnen,open
versteckt,hidden
unbedingt,absolutely
dauert,lasts
computer,computer
sonne,sun
reich,rich
damen,ladies
hunger,hunger
lady,lady
preis,price
lügen,lie
firma,company
normal,normal
neben,next to
wette,bet
gekauft,bought
wunder,wonder
pferd,horse
beschützen,protect
frieden,peace
schwöre,I swear
erreichen,to reach
aussehen,look
fehlt,missing
verkauft,sold
erwarten,expect
haut,skin
holt,gets
herrn,Mr.
wussten,knew
traurig,sad
seltsam,strange
henry,Henry
gesucht,wanted
kriegt,gets
zieht,pulls
süße,sweetness
jung,young
liste,list
de,de
tolle,great
nächstes,next
sekunde,second
euren,your
tschüss,bye
großes,large
karte,map
stirbt,dies
redet,talks
ans,to
schade,Too bad
anruf,call
letzter,last
and,and
beziehung,relationship
bewegen,move
rechts,right
willen,will
wütend,angry
toten,kill
persönlich,personal
nachrichten,news
zeiten,times
präsident,president
eigene,own
muß,must
madame,madame
bleibe,stay
witz,joke
freut,happy
lebe,live
fährt,drives
geburtstag,birthday
entfernt,removed
untertitel,subtitles
verraten,betrayed
möglichkeit,possibility
wein,wine
vermutlich,allegedly
bord,board
nick,Nick
ruft,calls
fahre,drive
nase,nose
kindern,children
bank,bank
geschlafen,slept
fürchte,I am afraid
offensichtlich,apparently
blick,view
verändert,changed
hau,hau
alex,alex
singen,sing
zerstört,destroyed
geheimnis,secret
beschäftigt,busy
flugzeug,airplane
fuß,foot
diesmal,this time
vermisst,missing
tante,aunt
bekam,got
ha,Ha
schlaf,sleep
regierung,government
sauer,sour
armee,army
majestät,majesty
jimmy,Jimmy
meinte,meant
deines,yours
kirche,church
drogen,drugs
jesus,Jesus
schlechte,bad
zeigt,shows
kontakt,contact
ben,ben
letztes,last
gegenüber,opposite
geredet,talked
bleibst,stay
richtigen,correct
miteinander,each other
detective,detective
hoffnung,hope
wunderschön,beautiful
ermordet,murdered
liebst,love
la,la
schicksal,fate
stecken,put
schlag,hit
lust,desire
geliebt,loved
gericht,court
bekomme,get
ran,ran
kaputt,broken
sauber,clean
nämlich,namely
gefühle,feelings
erhalten,receive
brachte,brought
gesellschaft,company
verspreche,I promise
lieb,dear
zeichen,sign
übrigens,by the way
interessant,interesting
gehören,belong
volk,people
anderer,other
erledigen,complete
antworten,answer
überraschung,surprise
tee,tea
vaters,father's
kriegst,you get
soweit,so far
schlampe,slut
besorgt,worried
indem,by
achtung,danger
verstecken,hide
verdammten,damned
manche,some
mary,Mary
ewig,forever
show,show
don,Don
soldaten,soldiers
herausfinden,find out
weihnachten,Christmas
sarah,Sarah
namens,called
überleben,survive
lieutenant,lieutenant
gelassen,relaxed
heim,home
entweder,either
sheriff,sheriff
sagtest,you said
vergangenheit,past
fotos,photos
haare,hair
of,of
situation,situation
weder,neither
angefangen,begun
wald,forest
james,James
bill,bill
jawohl,yes indeed
fbi,FBI
setzt,sets
stellt,presents
kriege,wars
frag,ask
zuvor,before
besuch,visit
amerika,America
bob,bob
teilen,split
schuldig,guilty
schwein,pig
beginnen,start
schritt,step
gebäude,building
kümmere,take care
entscheiden,decide
guck,look
hals,neck
verstand,mind
zweite,second
ungefähr,approximately
drinnen,indoors
passen,fit
herein,in
vergnügen,enjoyment
haltet,hold
gefahren,driven
schönes,beautiful
güte,quality
jim,Jim
gebeten,requested
meint,means
übrig,left over
überrascht,surprised
aufhalten,stop
worauf,whereupon
ehemann,husband
besuchen,visit
ganzes,whole
brauch,need
insel,island
nimmst,take
glas,glass
werfen,throw
erkennen,recognize
nervös,nervous
verantwortlich,responsible
fühlst,do you feel
schaut,looks
königin,queen
kamera,camera
zerstören,destroy
witzig,funny
wohnen,reside
irgendwelche,any
anna,Anna
niemandem,no one
schützen,protect
deutsche,German
mussten,had to
lag,lay
prinzessin,princess
gibst,give
gesetz,law
schöner,beautiful
erschossen,shot
vorne,in front
freude,joy
messer,knife
sowas,like this
nehmt,take
gleichen,same
glückwunsch,congratulations
nahe,vicinity
aufgabe,task
falsche,FALSE
neun,nine
gegend,area
feiern,celebrate
falschen,FALSE
entschieden,decided
mission,mission
küche,kitchen
erster,first
gegessen,eaten
planeten,planets
ball,ball
übernehmen,take over
johnny,Johnny
mitnehmen,take along
unsinn,nonsense
stopp,stop
pro,per
gemeinsam,together
lied,song
gespielt,played
melden,report
seines,his
spur,track
rat,council
adresse,address
dorf,village
hälfte,half
m,m
allerdings,however
position,position
bedeuten,mean
wüsste,knew
bewegt,moves
gruppe,group
monster,monster
beine,legs
aussieht,looks
wohnt,lives
hängt,depends
schwierigkeiten,difficulties
respekt,respect
london,London
seh,see
händen,hands
danny,Danny
erinnert,remembers
schuhe,shoes
verhaftet,arrested
feind,enemy
verzeihen,pardon
band,band
geholfen,helped
dachten,thought
abendessen,dinner
statt,instead of
besorgen,obtain
drehen,turn
mark,mark
worüber,about what
davor,before
freiheit,freedom
schließen,close
nah,close
nachts,at night
kannte,knew
zufrieden,satisfied
martin,Martin
gewartet,waited
gefangen,caught
brücke,bridge
leisten,afford
gewusst,known
verbrechen,crime
armen,poor
lief,ran
drink,drink
meer,sea
wünsche,wishes
eier,eggs
eis,ice
kleid,a dress
clark,Clark
schmerz,pain
stimmen,voices
gesund,healthy
eurer,your
witze,jokes
richter,judge
bullen,bulls
deren,whose
leise,quiet
welchen,which
wind,wind
danken,thank
kümmert,cares
bericht,report
maria,Maria
ring,ring
sorry,Sorry
entlang,along
furchtbar,terrible
einverstanden,agreed
geschlagen,beaten
übel,bad
betrunken,drunk
to,to
taxi,taxi
versteht,understands
fernsehen,TV
mitten,in the middle
erfolg,success
schwanger,pregnant
falle,fall
unternehmen,company
beenden,finish
deal,deal
träume,dreams
schwierig,difficult
maul,mouth
schläft,sleeps
dauern,last
billy,Billy
genannt,named
maschine,machine
fantastisch,fantastic
beginnt,begins
helfe,help
energie,energy
versprechen,promise
t,t
fleisch,meat
singt,sings
aha,Aha
schließlich,finally
unseres,our
stehe,stand
ehren,honor
männern,men
angriff,attack
sergeant,sergeant
beeil,heap
verdienen,earn
größte,largest
wochenende,weekend
freue,am happy
hängen,hang
spiele,games
kostet,costs
see,lake
bekommst,get
schloss,lock
halb,half
rennen,run
unterschied,difference
echte,real
trägt,carries
tötet,kills
quatsch,nonsense
jane,Jane
geändert,changed
angebot,offer
daniel,Daniel
bilder,pictures
neuer,newer
major,major
bein,leg
au,au
schuss,shot
freunden,friends
polizist,policeman
schätzchen,baby
treten,step
weinen,cry
patienten,patients
schaden,damage
fang,catch
wusstest,did you know
fräulein,miss
schätzen,treasure
hielt,held
brechen,break
fanden,found
besteht,consists
leiden,suffer
haufen,heap
brüder,brothers
sprach,spoke
ernsthaft,seriously
daher,therefore
reichen,are sufficient
colonel,colonel
lächerlich,ridiculous
dessen,whose
aufpassen,watch out
nee,no
verpasst,missed
befehle,commands
zufällig,randomly
meter,meter
blumen,flowers
bauen,build
vorwärts,forward
tony,tony
tommy,Tommy
park,park
hut,hat
töte,kill
bringst,bring
loch,hole
operation,operation
spreche,speak
hinaus,in
thomas,Thomas
tiere,animals
zeitung,newspaper
gehirn,brain
wand,wall
richard,Richard
verbringen,spend
wünschen,wish
charles,Charles
mitgebracht,brought along
spannende,exciting
bücher,books
worum,what about
gelegenheit,opportunity
commander,commander
ohren,ears
chuck,chuck
entkommen,escape
schreien,scream
nachgedacht,thought
bombe,bomb
angetan,impressed
gebrochen,broken
mut,courage
ray,ray
bus,bus
steig,rise
robert,Robert
lüge,lie
weißen,white
heilige,holy
unterhalten,entertain
ecke,corner
flasche,bottle
eingeladen,invited
sahen,saw
stöhnt,groans
gestellt,placed
zeitpunkt,time
lord,lord
verhalten,behave
grad,degree
lächeln,smile
schafft,creates
besonderes,special
konntest,could
oma,granny
haar,hair
nutzen,to use
schwanz,tail
lois,Louis
neuigkeiten,news
engel,angel
gespräch,conversation
leer,empty
klingelt,rings
lehrer,teacher
blöd,stupid
fassen,grasp
trifft,hits
fahrt,drive
interesse,interest
versteh,I understand
verantwortung,responsibility
gebt,give
mannes,man
folge,consequence
tor,goal
robin,Robin
fragt,asks
wart,wait
lhnen,you
kosten,cost
schmerzen,pains
geschlossen,closed
system,system
funktionieren,function
eigenes,own
sommer,summer
red,red
zweiten,second
club,club
keller,cellar
schwarze,black
dorthin,there
keinem,none
überprüfen,check
frühstück,breakfast
mami,mommy
druck,pressure
schwert,sword
traf,met
dach,roof
sprichst,speak
gehalten,held
wahnsinn,craziness
baum,tree
verdammter,damned
auftrag,order
hintern,butt
gelaufen,walked
fragte,asked
mitkommen,come with me
hose,trousers
ted,ted
fisch,fish
rief,called
zeige,show
held,hero
rauf,up
kugel,bullet
gewalt,force
kurs,course
lösung,solution
flug,flight
gebaut,built
sprich,speak
nachdenken,ponder
beweis,proof
vorhin,earlier
bobby,Bobby
freuen,be happy
stein,stone
hasst,hates
knast,prison
walter,Walter
katze,cat
daraus,from this
tote,dead
urlaub,vacation
hunde,dogs
pause,pause
verschwindet,disappears
irre,insane
tier,animal
nachmittag,afternoon
d,d
erreicht,reached
prinz,prince
übersetzung,translation
koffer,suitcase
welchem,which
hinterlassen,leave behind
fick,fuck
erklärt,explained
einzigen,single
vogel,bird
getrunken,drank
eddie,Eddie
erstes,first
geschieht,happens
gemeint,meant
taten,did
jagen,hunting
is,is
wichser,wanker
erlaubt,allowed
küssen,kiss
weiteren,further
irgendjemand,anyone
bessere,better
schwarzen,black
stören,disturb
größer,larger
hoffen,hope
dankbar,thankful
besseres,better
seitdem,since
versuchte,attempted
kunden,customers
normalerweise,normally
übersetzt,translated
gingen,go
claire,Claire
halbe,half
natur,nature
atmen,breathe
risiko,risk
mindestens,at least
fiel,fell
bad,bad
beruhigen,calm
schlechter,worse
fängt,begins
prima,great
karten,cards
vollkommen,completely
mädels,girls
brauchte,needed
wahre,TRUE
zeugen,witnesses
entdeckt,discovered
erfahrung,experience
liebes,Dear
gezeigt,shown
steigen,climb
idioten,idiots
polizisten,police officers
runde,round
gibts,There is
geschossen,shot
schmeckt,tastes
schickt,sends
mistkerl,bastard
thema,theme
offenbar,apparently
isst,eats
weiße,white
gewissen,conscience
drüber,about it
gilt,applies
date,date
reihe,row
verfolgt,pursued
großvater,grandfather
behandelt,treated
van,van
wunsch,wish
erschießen,shoot
ryan,ryan
pläne,plans
city,City
morgens,morning
solchen,such
rom,Rome
geblieben,remained
entschuldigt,excused
schaffst,do you manage
dienst,service
emily,Emily
zufall,coincidence
längst,long ago
eurem,your
bravo,Bravo
zustand,condition
bemerkt,noticed
fluss,flow
wesen,essence
arthur,Arthur
chris,Chris
amerikaner,American
eh,eh
wahnsinnig,insane
rose,rose
lee,lee
nem,nem
roger,Roger
lautet,is
junger,younger
szene,scene
schlägt,strikes
schwarz,black
durcheinander,mixed up
weisst,you know
beruhige,calm down
geplant,planned
dringend,urgent
einigen,some
farbe,color
fern,remote
geschäfte,shops
rachel,Rachel
rot,red
vertraut,trusted
labor,laboratory
strand,beach
mond,moon
hinein,inside
soldat,soldier
gäste,guests
außerhalb,outside
rache,revenge
pferde,horses
frankreich,France
restaurant,restaurant
england,England
geschichten,stories
angegriffen,attacked
füße,feet
it,it
überlegen,superior
gelogen,Lies
rechte,right
garten,garden
kapitän,captain
alan,alan
ähnlich,similar
anscheinend,apparently
deutschen,German
radio,radio
langer,long
meilen,miles
verfolgen,track
zweimal,twice
opa,grandpa
louis,Louis
autos,cars
erinnerung,memory
reisen,travel
direktor,director
verlangt,required
gang,aisle
stört,disrupts
legt,lays
me,me
kapiert,I understand
streit,dispute
trink,drink
my,my
netter,nice
riecht,smells
jake,Jake
chief,chief
fuck,fuck
überzeugt,convinced
stehst,are you
aufgeben,give up
stehlen,steal
weshalb,for what reason
fair,fair
fass,barrel
dürfte,likely
nerven,annoy
verlangen,demand
bat,bat
sprache,language
scherz,joke
arbeitest,work
scott,Scott
derjenige,that one
vertrag,contract
steve,Steve
abgesehen,apart from
grenze,border
such,search
vorbereitet,prepared
braut,bride
einiges,some
san,san
kate,kate
lauter,loud
kuchen,cake
bürgermeister,mayor
officer,officer
hieß,was called
erzählte,told
langweilig,boring
college,college
aufstehen,stand up
scheinen,seem
dan,Dan
womit,with which
schande,shame
milch,milk
wache,wake
zweifel,doubt
nirgendwo,nowhere
gebrauchen,use
knie,knee
rauchen,smoke
nette,nice
erzähle,tell
entführt,kidnapped
wurdest,were
woran,what
folgt,follows
lager,storage
geglaubt,believed
dadurch,through this
lösen,solve
geheiratet,married
nachher,afterward
fragst,ask
pflicht,duty
abholen,pick up
verflucht,cursed
ziehe,pull
umsonst,for free
entlassen,dismissed
dreck,dirt
dean,dean
zählt,count
anzug,men's suit
andy,andy
erwähnt,mentioned
beeilen,hurry up
tatsache,fact
sieg,victory
unschuldig,innocent
suchst,are looking
test,test
schutz,protection
dreh,turn
ner,ner
leichen,corpses
bösen,evil
programm,program
erinnerungen,memories
schulden,debts
fährst,drive
pistole,gun
hassen,hate
mister,mister
schwach,weak
doc,doc
verboten,forbidden
schatten,shadow
enden,end
helft,help
stock,stock
form,form
klug,smart
erklärung,explanation
einfacher,simpler
kollegen,colleagues
knochen,bone
kuss,kiss
daten,data
begann,began
selbstverständlich,of course
irgendeine,any
